n,lstate,i,meas_type,p_error,sim_type,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,LER,detect_normal,decoding_normal
4,x,13,"['z', 'z', 'x', 'z']",0.01,normal,100000,72820,2907,4886,0,0.7282,0.03992035155177154,17.58927969800061,5.054972309000732
4,x,13,"['z', 'z', 'x', 'z']",0.005,normal,100000,85135,977,1804,0,0.85135,0.011475891231573332,17.902680242001225,11.92253664099917
4,x,14,"['x', 'x', 'z', 'z']",0.01,normal,100000,29939,4785,8704,0,0.29939,0.1598249774541568,13.212993842000287,2.3493454130002647
4,x,14,"['x', 'x', 'z', 'z']",0.005,normal,100000,54347,4694,8940,0,0.54347,0.08637091283787512,29.94427080300011,-10.197789459001797
4,x,15,"['z', 'x', 'z', 'z']",0.01,normal,100000,54129,11782,18318,0,0.54129,0.21766520719023075,54.26092282600075,12.447847452996939
4,x,15,"['z', 'x', 'z', 'z']",0.005,normal,100000,73649,9068,15933,0,0.73649,0.12312455023150348,18.869281395000144,14.959123697997711
4,x,16,"['x', 'z', 'z', 'z']",0.01,normal,100000,40543,13955,0,0,0.40543,0.34420245171792907,45.47265015599987,9.158794217000832
4,x,16,"['x', 'z', 'z', 'z']",0.005,normal,100000,63890,14156,0,0,0.6389,0.221568320550947,49.89431029200205,12.89318032799929
4,z,2,"['z', 'x', 'x', 'x']",0.01,normal,100000,36521,4406,7785,0,0.36521,0.12064291777333591,54.222735549999925,7.551131262000126
4,z,2,"['z', 'x', 'x', 'x']",0.005,normal,100000,60351,3748,7042,0,0.60351,0.062103361998972706,56.69471647500177,11.489611297998636
4,z,3,"['x', 'z', 'x', 'x']",0.01,normal,100000,26760,3034,5745,0,0.2676,0.11337817638266068,34.055286249000346,-16.28852985100093
4,z,3,"['x', 'z', 'x', 'x']",0.005,normal,100000,51336,3016,5863,0,0.51336,0.058750194795075594,50.00965017699855,8.939478820004297
4,z,4,"['z', 'z', 'x', 'x']",0.01,normal,100000,55903,598,1099,0,0.55903,0.010697100334507992,20.66860841900052,3.878323326996906
4,z,4,"['z', 'z', 'x', 'x']",0.005,normal,100000,74173,206,399,0,0.74173,0.0027772909279657476,60.086749326001154,12.67808051999964
4,z,5,"['x', 'x', 'z', 'x']",0.01,normal,100000,26416,2886,5605,0,0.26416,0.10925196850393704,32.4200953920008,1.5580815579996852
4,z,5,"['x', 'x', 'z', 'x']",0.005,normal,100000,50983,2825,5564,0,0.50983,0.055410627071769025,17.04860636900048,3.164705798997602
4,z,6,"['z', 'x', 'z', 'x']",0.01,normal,100000,42431,393,738,0,0.42431,0.00926209610897688,28.598402514002373,-5.848588138000196
4,z,6,"['z', 'x', 'z', 'x']",0.005,normal,100000,63659,146,283,0,0.63659,0.0022934698942804754,20.316282774001593,4.321431873999245
4,z,7,"['x', 'z', 'z', 'x']",0.01,normal,100000,34475,226,438,0,0.34475,0.0065554749818709235,47.362723915997776,7.354414563000319
4,z,7,"['x', 'z', 'z', 'x']",0.005,normal,100000,56227,88,174,0,0.56227,0.001565084390061755,51.13846225499947,12.299626797997917
4,z,8,"['z', 'z', 'z', 'x']",0.01,normal,100000,100000,4,8,0,1.0,4.0000000000040004e-05,40.04866170999958,16.57628185000067
4,z,8,"['z', 'z', 'z', 'x']",0.005,normal,100000,100000,0,0,0,1.0,0.0,33.98989730500034,13.051774197996565
4,z,9,"['x', 'x', 'x', 'z']",0.01,normal,100000,27064,3152,5953,0,0.27064,0.11646467632279045,42.85003531999973,12.038142834997416
4,z,9,"['x', 'x', 'x', 'z']",0.005,normal,100000,51372,2845,5510,0,0.51372,0.055380362843572395,16.87688605600124,3.921925033999287
4,z,10,"['z', 'x', 'x', 'z']",0.01,normal,100000,40675,324,623,0,0.40675,0.00796558082360177,55.24518234099742,-5.6562533090000215
4,z,10,"['z', 'x', 'x', 'z']",0.005,normal,100000,63060,129,254,0,0.6306,0.0020456707897240634,57.05431179300285,12.837558995994186
