n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,3,0.1,normal,anqi,3000000,0.0013946666666666,4.3568075978225685e-05,3.850108223587143e-05,0.3029747660768445,3,0.0056883399255939,0.0050267825315567,0.000972,2.3383492753079767e-05,2.0663978319771835e-05,1,1,48,48,48,1.0,0.0,4184,1268.0,0,0,0,0,1192.7648285999894,"['z', 'x', 'x', 'x']"
4,x,3,0.1,normal,val,3000000,0.0013946666666666,4.3568075978225685e-05,3.850108223587143e-05,0.3026792189768436,3,0.0018065744178286,0.0015964687139456,0.0009725,2.8610853418472808e-05,2.528339375954112e-05,1,1,48,48,48,1.0,0.0,4184,650.0,1233,0,0,0,1569.6097612179583,"['z', 'x', 'x', 'x']"
4,x,4,0.0001,m1,anqi,125000000,0.988022344,2.0169448562601884e-05,0.0001150516787108,0.0,125,0.0,0.0,0.988022344,2.0169448562601884e-05,0.0001150516787108,0,2,56,40,48,1.0,0.0,123502793,0.0,0,0,0,0,6106.822985713836,"['x', 'z', 'x', 'x']"
4,x,4,0.0001,m1,val,2000000,0.987982,0.00031164,0.0002248599564173,7.590009927732986e-07,2,1.487641945835665e-06,1.0733894978346424e-06,0.98798125,0.0003101699999998,0.0002237992962454,0,2,56,40,48,1.0,0.0,1975964,0.0,3,0,0,0,128.2347228639992,"['x', 'z', 'x', 'x']"
4,x,4,0.0001,normal,anqi,125000000,0.985027128,2.2224103636053e-05,0.0001267719552786,7.390633016529351e-07,125,1.325186551304094e-07,7.559202070368538e-07,0.9850264,2.222090302395257e-05,0.0001267536981708,0,2,64,48,64,1.0,0.0,123128391,91.0,0,0,0,0,75668.02918642422,"['x', 'z', 'x', 'x']"
4,x,4,0.0001,normal,val,2000000,0.985057,0.0003233999999999,0.0002333452377915,1.776504479791219e-06,2,4.968499066056435e-07,3.584958552987279e-07,0.98505525,0.0003229099999999,0.0002329916844009,0,2,64,48,64,1.0,0.0,1970114,0.0,7,0,0,0,1080.5485385460197,"['x', 'z', 'x', 'x']"
4,x,4,0.005,m1,anqi,125000000,0.550210952,8.490015103995733e-05,0.0004842921148605,2.577855928523632e-05,125,1.255469044886638e-06,7.161515632686881e-06,0.5501967680000001,8.482956120724769e-05,0.0004838894524512,0,2,56,40,48,1.0,0.0,68776369,1773.0,0,0,0,0,30139.22455492808,"['x', 'z', 'x', 'x']"
4,x,4,0.005,m1,val,2000000,0.5504355000000001,0.00057526,0.0004150716805565,0.0015687810398208,2,8.53187284994651e-05,6.156066477978135e-05,0.549572,0.0006213199999998,0.0004483056992721,0,2,56,40,48,1.0,0.0,1100871,30.0,3394,0,0,0,591.1573439640342,"['x', 'z', 'x', 'x']"
4,x,4,0.005,normal,anqi,126000000,0.4750156428571429,8.829592344333453e-05,0.0005056731033272,0.0015814789823217,126,9.408283715464454e-06,5.388149121556004e-05,0.4742644126984127,8.778857360063648e-05,0.0005027674972762,0,2,64,48,64,1.0,0.0,59851971,94655.0,0,0,0,0,68997.34836759407,"['x', 'z', 'x', 'x']"
4,x,4,0.005,normal,val,3000000,0.4746306666666666,0.0001298457881916,0.0001147446440289,0.0015935208212108,3,1.1854827363486914e-05,1.0476103728835272e-05,0.4738743333333333,0.0001333332328333,0.000117826496737,0,2,64,48,64,1.0,0.0,1423892,50.0,4438,0,0,0,1630.5091391620808,"['x', 'z', 'x', 'x']"
4,x,4,0.01,m1,anqi,125000000,0.30613068,7.792897728056438e-05,0.0004445267617764,0.0002148087169095,125,4.593620793707027e-06,2.6203184585677174e-05,0.30606492,7.786887002146926e-05,0.0004441838946405,0,2,56,40,48,1.0,0.0,38266335,8220.0,0,0,0,0,45103.37640667049,"['x', 'z', 'x', 'x']"
4,x,4,0.01,m1,val,2000000,0.306039,0.00051156,0.0003691097397793,0.0063080980011559,2,0.0001802612432189,0.0001300652525155,0.3041085,0.0005634999999999,0.0004065863991822,0,2,56,40,48,1.0,0.0,612078,126.0,7470,0,0,0,698.0959900409798,"['x', 'z', 'x', 'x']"
4,x,4,0.01,normal,anqi,127000000,0.2308174645669291,7.890041806603384e-05,0.0004536543645383,0.0065402680299039,127,2.83963231305576e-05,0.0001632705661234,0.229307842519685,7.740691683262398e-05,0.0004450671685565,0,2,64,48,64,1.0,0.0,29313818,191722.0,0,0,0,0,61762.56764736248,"['x', 'z', 'x', 'x']"
4,x,4,0.01,normal,val,3000000,0.2303306666666666,0.0004248490582678,0.0003754388543202,0.0065470333057573,3,0.0002099465986359,0.0001855296814866,0.2288226666666666,0.0004063768783339,0.0003591150001508,0,2,64,48,64,1.0,0.0,690992,230.0,8588,0,0,0,1524.3694919769769,"['x', 'z', 'x', 'x']"
4,x,4,0.05,m1,anqi,2000000,0.0061815,9.702000000000012e-05,7.00035713374683e-05,0.0483551012691105,2,0.0036801080764977,0.0026553360983581,0.0058825,6.957999999999989e-05,5.020458146424479e-05,0,2,56,40,48,1.0,0.0,12363,598.0,0,0,0,0,756.872009120998,"['x', 'z', 'x', 'x']"
4,x,4,0.05,m1,val,3000000,0.006144,9.241145383555045e-05,8.166394553289752e-05,0.2041670100702811,3,0.0015137833158413,0.0013377293952486,0.0048896666666666,8.238478931884884e-05,7.280338819954282e-05,0,2,56,40,48,1.0,0.0,18432,883.0,5760,0,0,0,1104.206499303982,"['x', 'z', 'x', 'x']"
4,x,4,0.05,normal,anqi,3000000,0.0031623333333333,5.038297243227249e-05,4.45234020862439e-05,0.2782809912661234,3,0.0048752009985495,0.0043082121564276,0.0022823333333333,4.1490524754989954e-05,3.6665151483845327e-05,0,2,64,48,64,1.0,0.0,9487,2640.0,0,0,0,0,904.2060833649012,"['x', 'z', 'x', 'x']"
4,x,4,0.05,normal,val,3000000,0.0031623333333333,5.038297243227249e-05,4.45234020862439e-05,0.2785206999062289,3,0.0023003142458384,0.0020327862995748,0.0022815,2.9438086441433867e-05,2.601441907865712e-05,0,2,64,48,64,1.0,0.0,9487,913.0,3459,0,0,0,923.6429475009792,"['x', 'z', 'x', 'x']"
