n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,3,0.0,m2,val,200,1.0,200,0.0,0.0,1,,0.0,,1.0,0.0,,1,1,40,40,32,1.0,0.0,200,0.0,0,0,0,0.0,0.048288728999978
4,x,3,0.0001,m1,anqi,125000000,0.9918646,123983075,0.0,0.0,1,,0.0,,0.9918646,0.0,,1,1,40,40,32,1.0,0.0,123983075,0.0,0,0,0,0.0,561.9040063959546
4,x,3,0.0001,m1,val,771900000,0.9918668933627743,765630420,0.0,2.1350991037835107e-05,2,1.54055413754147e-05,0.0,0.0,0.9918668933627743,2.1350991037835107e-05,1.54055413754147e-05,1,1,40,40,32,1.0,0.0,765630420,0.0,0,0,0,1.5442187767475843,1496.5655349527467
4,x,3,0.0001,m2,val,1052400000,0.9960619989868249,1042744865,0.0,0.0,1,,0.0,,0.9908256033827442,0.0,,1,1,40,40,32,0.9982476339794755,0.0,1042744865,0.0,0,5532570,0,0.0,636.4922232872341
4,x,3,0.0001,normal,anqi,126000000,0.9898722142857143,124723899,0.0,0.0,1,,0.0,,0.9898722142857143,0.0,,1,1,48,48,48,1.0,0.0,124723899,0.0,0,0,0,0.0,7483.309048213123
4,x,3,0.0001,normal,val,772900000,0.9898724730051522,765068707,0.0,9.52624323509732e-06,2,6.873542031397745e-06,0.0,0.0,0.9898724730051522,9.52624323509732e-06,6.873542031397745e-06,1,1,48,48,48,1.0,0.0,765068707,0.0,0,0,0,15.052663489244878,33746.26312683299
4,x,3,0.0005,m1,val,769900000,0.9600477425639693,739140757,6.76461141216706e-10,0.0,1,,0.0,,0.9600477419145343,0.0,,1,1,40,40,32,1.0,0.0,739140757,0.0,1,0,0,2.392997558694333,3157.668563956904
4,x,3,0.0005,m2,val,1052400000,0.9804003338127226,1004947816,0.0,0.0,1,,0.0,,0.9549105055112125,0.0,,1,1,40,40,32,0.9913335306600786,0.0,1004947816,0.0,0,27361777,0,0.0,1243.1087059876882
4,x,3,0.0005,normal,val,770000000,0.9503685805194805,731783807,0.0,0.0,1,,0.0,,0.9503685805194805,0.0,,1,1,48,48,48,1.0,0.0,731783807,0.0,0,0,0,40.80304932920262,43510.401318905046
4,x,3,0.001,m1,anqi,12820000000,0.9217136151394952,11816398286,0.0,6.73563980526648e-06,2,4.8600169203407804e-06,0.0,0.0,0.9217136151394952,6.73563980526648e-06,4.8600169203407804e-06,1,1,40,40,32,1.0,0.0,11816398286,0.0,0,0,0,0.0,142529.6899237435
4,x,3,0.001,m1,val,11659900000,0.9217215075319447,10747137593,3.174492681903548e-09,8.584926485037946e-06,2,6.19434666689625e-06,1.5987952087131564e-09,1.1535907487853415e-09,0.9217215046059501,8.586400101570078e-06,6.1954099365316975e-06,1,1,40,40,32,1.0,0.0,10747137593,0.0,83,0,0,4.640975493006408,126681.91607355535
4,x,3,0.001,m2,val,1052400000,0.9610896518960073,959708049,0.0,0.0,1,,0.0,,0.9119232696693272,0.0,,1,1,40,40,32,0.9829476947928544,0.0,959708049,0.0,0,53837538,0,0.0,1591.4831373090856
4,x,3,0.001,normal,anqi,12828000000,0.9032672154720871,11587149908,3.71625328703318e-09,8.609869740551223e-06,2,6.21234416191493e-06,1.5219725154874748e-11,1.098160292327287e-11,0.9032672121153174,8.60988345595004e-06,6.21235405808994e-06,1,1,48,48,48,1.0,0.0,11587149908,43.0,0,0,0,0.0,1217623.3337976679
4,x,3,0.001,normal,val,11668000000,0.9032669504906878,10539364697,4.32047864183598e-09,9.1575704437874e-06,2,6.607530775505686e-06,2.1303669228428926e-10,1.5371396913854367e-10,0.9032669465881418,9.157377975261838e-06,6.607391902240798e-06,1,1,48,48,48,1.0,0.0,10539364697,0.0,93,0,0,75.87616891320795,1104271.494583979
4,x,3,0.005,m1,anqi,2141000000,0.6663766633878571,1426754490,4.4207910073834365e-08,2.247101778441649e-05,4,2.292960998409846e-05,3.027449516156071e-08,3.089234200159256e-08,0.6663766339283155,2.2454993886018667e-05,2.2913259067365988e-05,1,1,40,40,32,1.0,0.0,1426754490,76.0,0,0,0,0.0,98175.028311776
4,x,3,0.005,m1,val,759900000,0.6663462369046049,506390700,2.390822703718962e-06,8.866433302553987e-05,2,6.397464401198123e-05,4.138827925683931e-06,2.986319686138123e-06,0.6663446438844174,9.142201345823886e-05,6.596441394494746e-05,1,1,40,40,32,1.0,0.0,506390700,0.0,294,0,0,27.675632807891816,15059.735180264117
