n,lstate,i,p_error,sim_type,shots,prep_rate,count_accept,LER,eff,N_samples,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,z,14,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1,1,40,8,32,1.0,0.0,0.0,0,0,0,0,0.0351041329649887
4,z,15,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,8,48,1.0,0.0,0.0,0,0,0,0,0.033753664984033
4,z,16,0.0,m2,200,1.0,200,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,2,56,-8,48,1.0,0.0,0.0,0,0,0,0,0.0004933350664941001
5,x,2,0.0,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,0,3,144,144,128,1.0,0.0,0.0,0,0,0,0,0.3288608719885815
5,x,2,0.1,m2,1850000,0.26737425395453746,357501,0.0,0.19324378378378376,37,0.07508593308616199,0.2330254593515232,0.0,0.0,0.06836975231499906,0.2121821263201256,0,3,144,144,128,0.7791191096979332,0.03228044885205741,0.0,0,771856,0,0,182.75013279471023
5,x,2,0.3,m2,1850000,0.09503377185845178,90221,0.0,0.0487681081081081,37,0.039837586139666994,0.12363396748361943,0.0,0.0,0.022672790038436003,0.07036387637914145,0,3,144,144,128,0.6458364069952306,0.029278706876393563,0.0,0,1237605,0,0,131.2062890820016
5,x,2,0.5,m2,1900000,0.02950176579046687,24317,0.0,0.012798421052631579,38,0.015916840069045653,0.05006019990032791,0.0,0.0,0.0074666109639427315,0.023483306724923603,0,3,144,144,128,0.5779456965944272,0.027101123587893947,0.0,0,1514706,0,0,96.47571172488097
5,x,2,0.8,m2,1850000,0.008741792972194483,5406,0.0,0.002922162162162162,37,0.0053837193200090986,0.016708105180303037,0.0,0.0,0.0021360237474053866,0.006629043476808507,0,3,144,144,128,0.5430984737678856,0.020624155717106737,0.0,0,1596617,0,0,56.75572698931501
5,x,2,1.0,m2,1950000,0.004432284846356102,1916,0.0,0.0009825641025641026,39,0.002229599711951966,0.007104002927739629,0.0,0.0,0.0005596771623494858,0.001783256509500936,0,3,144,144,128,0.5291349321266968,0.014049223927181307,0.0,0,1734353,0,0,72.09685537000041
5,x,3,0.0,m2,1000,1.0,1000,0.0,1.0,1,0.0,,0.0,,0.0,,1,2,112,112,96,1.0,0.0,0.0,0,0,0,0,0.3729140310024377
5,x,3,0.1,m2,1850000,0.7005484755205632,1103129,0.0,0.596285945945946,37,0.06819054784240307,0.211625974151162,0.0,0.0,0.07651594617440292,0.2374634338571293,1,2,112,112,96,0.9097170893970894,0.02614080959334133,0.0,0,361884,0,0,346.88729867043
5,x,3,0.3,m2,1850000,0.4861107359428517,631066,0.0,0.3411167567567568,37,0.05216967984801522,0.1619060070393679,0.0,0.0,0.0441909263221621,0.13714434225082495,1,2,112,112,96,0.8408974636174636,0.022359623272855858,0.0,0,637736,0,0,362.8679389512836
5,x,3,0.5,m2,1850000,0.3036597407046253,323282,0.0,0.17474702702702705,37,0.048230738886755976,0.14968169964742678,0.0,0.0,0.032230956212301376,0.10002716977748441,1,2,112,112,96,0.7648386694386694,0.027926343871859605,0.0,0,942605,0,0,326.89931458913634
