n,N,i,lstate,sim_type,p_error,prob_threshold,count_accept,total_data,prep_rate,ler_clean,ler_all,total_params,model_mem_mb,train_time_sec,latency_us,train_pooled_loss,test_bce_loss
5,32,25,z,m1,0.0075,0.9,10168,97376,0.10441998028261584,0.00034421715184893784,0.0025570416994492584,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,0.95,10348,99355,0.10415177897438478,0.0003382296095863935,0.002512562814070307,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.0075,1.0,10395,100000,0.10395,0.0003367003367003367,0.0025012025012024486,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.831066906452179
5,32,25,z,m1,0.005,0.05,149,745,0.2,0.0,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.1,585,3061,0.1911140150277687,-0.0008547008547008547,0.0,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.15,1291,6409,0.20143548135434544,0.0003872966692486445,0.0015491866769945517,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.2,2251,10885,0.20679834634818559,0.0,0.0013327410039982723,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.25,3422,16207,0.2111433331276609,0.0,0.0014611338398596851,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.3,4728,22256,0.2124370956146657,-0.00010575296108291032,0.0012690355329949554,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.35,6216,28938,0.21480406386066764,0.0,0.0011261261261261701,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.39999999999999997,7983,36733,0.21732502109819507,0.0,0.0011273957158962622,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.44999999999999996,9937,45100,0.22033259423503326,5.031699708161417e-05,0.001207607929958776,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.49999999999999994,11712,53243,0.2199725785549274,4.269125683060109e-05,0.001366120218579181,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.5499999999999999,13510,61092,0.22114188437111243,-3.700962250185048e-05,0.0013323464100666316,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.6,15131,68309,0.22150814680349587,-3.304474258145529e-05,0.0011896107329324446,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.65,16614,74845,0.2219787560959316,0.0,0.0012038040207054124,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.7,17966,80797,0.22235974107949552,2.7830346209506846e-05,0.0012245352332183046,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.75,19147,86191,0.22214616375259597,-2.611375150154071e-05,0.001149005066067743,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.7999999999999999,20180,90787,0.2222785200524304,0.0,0.0011892963330030204,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.85,20989,94605,0.2218593097616405,-2.3822002001048168e-05,0.001143456096050266,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.9,21625,97596,0.2215767039632772,-2.3121387283236996e-05,0.001109826589595353,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,0.95,22015,99472,0.22131856200739908,2.271178741766977e-05,0.0011810129457188179,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
5,32,25,z,m1,0.005,1.0,22108,100000,0.22108,0.0,0.0011760448706350513,2284033,8.712894439697266,5354.636397265131,285.372813930735,150984616.88811833,0.5485315159825813,0.8294188976287842
