n,lstate,i,p_error,sim_type,N_samples,total_meta_shots,shots,count_accept,count_logerror,count_undecided,count_detect_discard,prep_rate,prep_rate_SEM,prep_rate_SD,LER,LER_SEM,LER_SD,detect_normal,decoding_normal
3,x,4.0,0.8,m1,1125,0.0,112500000.0,98697955.0,362140.0,7509952.0,0.0,0.8773151555555556,0.0007063397004259606,0.012087425398157792,0.04166868935007822,0.00043179840650988055,0.007389264715807505,0.0,1472.8595829047918
3,x,4.0,0.8,normal,1125,0.0,112500000.0,96371366.0,319900.0,7441403.0,0.0,0.8566343644444444,0.001040666835512312,0.0178086871387892,0.04190357699041194,0.0007130918047117857,0.0122029725729609,0.0,4442.576742189209
3,x,4.0,1.0,m1,1125,0.0,112500000.0,95598405.0,446798.0,9043897.0,0.0,0.8497636000000001,0.0008453787075063987,0.014466767270779737,0.051907543603496684,0.000529494113999247,0.009061108412665862,0.0,1511.5640186410965
3,x,4.0,1.0,normal,1125,0.0,112500000.0,92868229.0,410665.0,8958129.0,0.0,0.8254953688888889,0.00122773991145961,0.02101002475035659,0.05262081654783984,0.0008734115107442268,0.014946486048634279,0.0,4902.564900954494
3,x,5.0,0.1,m1,1125,0.0,112500000.0,112500000.0,2.0,1583.0,0.0,1.0,0.0,0.0,7.053333333333334e-06,3.5231313007209106e-07,6.0290518485223545e-06,0.0,25.72275284791607
3,x,5.0,0.1,normal,1125,0.0,112500000.0,112500000.0,3.0,5237.0,0.0,1.0,0.0,0.0,2.3302222222222223e-05,6.393669703557979e-07,1.0941336798089212e-05,0.0,295.26354317501676
3,x,5.0,0.3,m1,1125,0.0,112500000.0,112500000.0,27.0,14264.0,0.0,1.0,0.0,0.0,6.363555555555556e-05,1.1349314625764143e-06,1.9421815562174394e-05,0.0,31.80671163188521
3,x,5.0,0.3,normal,1125,0.0,112500000.0,112500000.0,251.0,47313.0,0.0,1.0,0.0,0.0,0.00021251111111111111,2.4727416577568064e-06,4.231544722606943e-05,0.0,406.58818811505625
3,x,5.0,0.5,m1,1125,0.0,112500000.0,112500000.0,159.0,38818.0,0.0,1.0,0.0,0.0,0.00017393777777777777,2.311792165393105e-06,3.9561156364824635e-05,0.0,37.8388533560464
3,x,5.0,0.5,normal,1125,0.0,112500000.0,112500000.0,1145.0,129166.0,0.0,1.0,0.0,0.0,0.0005842488888888889,5.2410882014257395e-06,8.968951143719435e-05,0.0,431.65235096596734
3,x,5.0,0.8,m1,1125,0.0,112500000.0,112500000.0,681.0,97592.0,0.0,1.0,0.0,0.0,0.00043979555555555554,4.5391113829299036e-06,7.767674701281385e-05,0.0,45.416036606853545
3,x,5.0,0.8,normal,1125,0.0,112500000.0,112500000.0,4238.0,321184.0,0.0,1.0,0.0,0.0,0.0014651555555555557,1.1743978386631976e-05,0.00020097194386834748,0.0,481.9696929458987
3,x,5.0,1.0,m1,1125,0.0,112500000.0,112500000.0,1375.0,150691.0,0.0,1.0,0.0,0.0,0.00068196,6.456116919069295e-06,0.000110482012513205,0.0,48.20751411084343
3,x,5.0,1.0,normal,1125,0.0,112500000.0,112500000.0,8355.0,492190.0,0.0,1.0,0.0,0.0,0.002261777777777778,1.7336398884353246e-05,0.0002966737223760105,0.0,570.3194806738684
3,x,6.0,0.1,m1,1125,0.0,112500000.0,110630661.0,27277.0,1150273.0,0.0,0.9833836533333334,0.00010823605434141202,0.0018522181769675397,0.005444333169337484,6.008186918860429e-05,0.0010281669162319081,0.0,931.4912603240409
3,x,6.0,0.1,normal,1125,0.0,112500000.0,110307081.0,46893.0,1176009.0,0.0,0.9805073866666666,0.0001472609303909071,0.0025200417151831603,0.005755160395320928,9.153544406337962e-05,0.0015664245556863245,0.0,5849.327618184037
