n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,7,0.5,normal,na,val,210000,0.43040952380952385,90386,0.0,0.0,21,0.0,0.02080075778534149,0.04863318727743335,0.0,0.0,0.0,0.0,0.0,0.0,0.43040952380952385,0.02080075778534149,0.04863318727743335,1,2,128,96,128,1.0,0.0,90386,0.0,0,0,0,0,209.18176568998751
5,x,8,0.1,m1,na,val,5900000,0.791984406779661,4672708,6.741368773132125e-05,2.5769003874570476e-06,59,0.00012967357468772838,0.003038444664419115,0.01190751852767191,5.352384882898962e-06,2.0975738971548766e-05,1.7826996850709089e-06,6.986314339647509e-06,9.302815625213327e-06,3.6457287083067856e-05,0.7919310169491526,0.003038277748319174,0.011906864391502871,0,3,144,80,128,1.0,0.0,4672708,12.0,606,0,0,0,15726.392000649124
5,x,8,0.1,normal,na,val,5900000,0.7758874576271186,4577736,5.873320002733e-05,2.402674103166046e-06,59,0.00011266105184832792,0.0027456994629316486,0.01076026416052171,5.383901432036536e-06,2.1099250812056707e-05,1.6681125157375539e-06,6.537252733277509e-06,9.973982570260207e-06,3.9087558065749896e-05,0.7758418644067797,0.0027451185334062948,0.010757987525647486,0,3,160,96,160,1.0,0.0,4577736,11.0,516,0,0,0,15467.98742215312
5,x,8,0.15,m1,na,val,5900000,0.702521186440678,4144875,0.0001425687236355544,4.548471797648955e-06,59,0.0002760405036758109,0.003354500352592628,0.013146125571194189,1.1019615441730589e-05,4.3185343006834776e-05,2.4461676872452514e-06,9.586413535437474e-06,2.1584705126844116e-05,8.458942143064103e-05,0.7024211016949152,0.0033549563191975513,0.013147912482392443,0,3,144,80,128,1.0,0.0,4144875,19.0,1143,0,0,0,15009.087502268609
5,x,8,0.15,normal,na,val,5900000,0.6831866101694916,4030801,0.00015011173634048674,6.656736091194334e-06,59,0.00028691000049858476,0.002957388401849474,0.011589862932480623,9.776110750203702e-06,3.831210791817334e-05,3.243429136922537e-06,1.2710842818155966e-05,1.869592245386926e-05,7.326842105051996e-05,0.6830838983050848,0.002954546444959774,0.011578725440093408,0,3,160,96,160,1.0,0.0,4030801,27.0,1158,0,0,0,15008.768444059417
5,x,8,0.3,m1,na,val,5900000,0.49151457627118644,2899936,0.0005569131576721083,2.4653624189011156e-05,59,0.0010645190669661942,0.00447004087572673,0.017517875237442467,2.6819967654440193e-05,0.00010510616352391679,5.764064393204559e-06,2.258909117566533e-05,5.2913961500503964e-05,0.00020736727060330574,0.49124084745762714,0.004467483660916438,0.017507853635571828,0,3,144,80,128,1.0,0.0,2899936,71.0,3088,0,0,0,13431.659054466523
5,x,8,0.3,normal,na,val,5900000,0.46525762711864405,2745020,0.0005782814579479888,3.662994056555913e-05,59,0.0010833030347648595,0.0042060876319213025,0.016483455167905642,2.8680352479293582e-05,0.00011239692219066265,8.73206709798802e-06,3.422055105092554e-05,5.296954474614889e-05,0.000207585098670111,0.46498923728813557,0.0042085043098988644,0.016492926012686926,0,3,160,96,160,1.0,0.0,2745020,100.0,2967,0,0,0,13305.29287635535
5,x,8,0.5,m1,na,val,6110000,0.30496275,1901592,0.0017174408789963212,0.00010651528913848679,80,0.0032218511797156694,0.005198228896251252,0.02372161872371735,8.112114433237977e-05,0.00037018855742810815,3.0009068044246412e-05,0.00013694350222112582,0.0001677891075891803,0.0007656894907212919,0.304441375,0.0051963839166642364,0.023713199336424157,0,3,144,80,128,1.0,0.0,1901592,193.0,5895,0,0,0,12215.932176414004
5,x,8,0.5,normal,na,val,6110000,0.27607075000000003,1713602,0.0017669958299283105,0.0001696230883202958,80,0.0031947454832160294,0.004264002592993102,0.01945836664115907,8.699214096226276e-05,0.00039698028714257855,3.916678413934638e-05,0.00017873386080742676,0.00015535989963542788,0.0007089699929844113,0.275583125,0.004257483215178157,0.019428616086128007,0,3,160,96,160,1.0,0.0,1713602,289.0,5505,0,0,0,11989.885105903631
5,x,8,0.7,m1,na,val,5900000,0.1918093220338983,1131675,0.0033863610655849117,0.00027737214839719244,59,0.006217977834375439,0.004149940581210851,0.016263417576160767,0.00012933842678986877,0.0005068710749862326,4.2574698278775686e-05,0.00016684819523000345,0.0002428197620297009,0.0009515989707208696,0.191160593220339,0.004138380142966871,0.01621811277459891,0,3,144,80,128,1.0,0.0,1131675,309.0,7037,0,0,0,10734.918446241645
