n,lstate,i,p_error,sim_type,comp_type,decoder_type,shots,prep_rate,count_accept,LER,LER_error,N_samples,LER_undecided,prep_rate_SEM,prep_rate_SD,LER_SEM,LER_SD,LER_error_SEM,LER_error_SD,LER_undecided_SEM,LER_undecided_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,11,0.5,normal,na,val,190000,0.2617210526315789,49727,0.0001522944499480865,6.155740227762388e-05,19,0.00018147409534092522,0.028332360808989644,0.06300913142771335,0.00014817590069256915,0.00032953253927909567,0.00012065250846414282,0.000268322495755043,9.165913765482673e-05,0.0002038433256578946,0.26168684210526316,0.028338245229918305,0.06302221795637114,1,2,128,96,128,1.0,0.0,49727,2.0,9,0,0,0,176.72318598297716
5,x,12,0.5,m1,na,val,190000,0.11608421052631579,22056,0.034430821792342095,0.0007714430118750695,19,0.06731875756093406,0.025617276616997676,0.0569709795827655,0.0283632787491675,0.06307789070157953,0.0004543591420663426,0.001010462032827055,0.05696352958056069,0.1266827902597214,0.11459473684210525,0.025312189323202387,0.0562924873977594,0,3,144,80,128,1.0,0.0,22056,19.0,528,0,0,0,135.72632429403893
5,x,12,0.5,normal,na,val,190000,0.08806315789473684,16732,0.024454953060676406,0.0012866125634697348,19,0.04633668099441334,0.02154401611818144,0.04791234137610425,0.02047034801384153,0.045524580781348876,0.0012493341265632375,0.0027784291859213298,0.041023672644353644,0.09123369558654672,0.08695,0.021292032359272427,0.047351947630952254,0,3,160,96,160,1.0,0.0,16732,16.0,391,0,0,0,112.8413939079619
5,x,13,0.5,m1,na,val,190000,0.43036315789473684,81769,0.0017618091586660716,0.00013967099306739402,19,0.003244276331197355,0.09033578661184703,0.20090028817668154,0.0015200258909342512,0.003380428188850908,0.0001719269289722512,0.0003823531168690502,0.002756872254289426,0.006131085488111619,0.4301710526315789,0.09039489504516912,0.2010317410784989,2,1,80,48,64,1.0,0.0,81769,4.0,65,0,0,0,203.99755574396113
5,x,13,0.5,normal,na,val,190000,0.4003421052631579,76065,0.003198090281617993,0.0010296450159231558,19,0.004336890531389675,0.07310138111779858,0.16257221067639613,0.003398950999545002,0.0075590224087057276,0.00152420475246607,0.003389721676155116,0.004053012816622764,0.009013608818639683,0.4001052631578947,0.07318338320586476,0.16275457741876337,2,1,96,64,96,1.0,0.0,76065,5.0,80,0,0,0,185.92517712600238
5,x,14,0.5,m1,na,val,190000,0.09543684210526315,18133,0.16448612577009625,0.08655170628007483,19,0.1558688389800428,0.037843592842147215,0.08416142696909128,0.11565653935104443,0.2572118199953255,0.09293549431737873,0.20668185101910838,0.08417988921573939,0.18721001539278437,0.09302105263157895,0.03702680402378054,0.08234494741935947,0,3,144,80,128,1.0,0.0,18133,49.0,820,0,0,0,122.13310997397639
5,x,14,0.5,normal,na,val,190000,0.08793157894736843,16707,0.06517960022306621,0.009623523506720374,19,0.11111215343269167,0.025164870316498115,0.055964860529041684,0.03994464510686716,0.08883401599817879,0.014532453289597961,0.03231913025055242,0.0673949049179858,0.1498814182893023,0.08602631578947369,0.02474035191832934,0.05502076216307666,0,3,160,96,160,1.0,0.0,16707,46.0,632,0,0,0,127.40281108897761
5,x,15,0.5,m1,na,val,190000,0.3237736842105263,61517,0.03198657938352712,0.004165875332379747,19,0.05564140810229473,0.024765328869244735,0.05507630910438176,0.0034697786159735467,0.007716537930350569,0.000793232473843335,0.0017640919348050348,0.005724134400760753,0.01273006295518412,0.31358684210526316,0.02441937764622834,0.05430693848166605,1,2,112,48,96,1.0,0.0,61517,249.0,3373,0,0,0,160.55354826402618
5,x,15,0.5,normal,na,val,190000,0.2926894736842105,55611,0.03918191190698056,0.005941127381456017,19,0.06648156905104909,0.01872442688013535,0.04164177782970743,0.004000070234265082,0.008895868325625797,0.0009565854455173149,0.0021273771876896986,0.00662114218048429,0.014724943701808962,0.2813842105263158,0.0185738052573944,0.04130680618060544,1,2,128,64,128,1.0,0.0,55611,324.0,3648,0,0,0,179.08519380599319
5,x,16,0.5,m1,na,val,190000,0.14738947368421054,28004,0.2919317189390087,0.02563788591299307,19,0.5325876660520312,0.031085375004318763,0.06913163687035241,0.03752902162603292,0.08346184322338265,0.007862262143506306,0.017485105179168098,0.07215396293855782,0.1604652208291595,0.10957631578947369,0.02356471937887985,0.05240624000277134,0,3,144,48,128,1.0,0.0,28004,640.0,13089,0,0,0,127.91057882201858
5,x,16,0.5,normal,na,val,190000,0.13196315789473684,25073,0.3178089915775305,0.03804017408772856,19,0.559537634979604,0.024575209130552743,0.054653496487988514,0.03205324206078008,0.07128410354887131,0.006794208559263568,0.015109830873045392,0.07464441209136952,0.16600380051341088,0.09351315789473684,0.01808030588734587,0.040209299097573536,0,3,160,64,160,1.0,0.0,25073,1057.0,12497,0,0,0,122.78531818701595
5,x,17,0.5,m1,na,val,190000,1.0,190000,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,-1,16,16,0,1.0,0.0,190000,0.0,0,0,0,0,223.02495660800196
5,x,17,0.5,normal,na,val,190000,1.0,190000,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,-1,32,32,32,1.0,0.0,190000,0.0,0,0,0,0,226.00273372103402
5,x,18,0.5,m1,na,val,190000,0.11048947368421053,20993,0.002558699232597704,3.954288425797778e-05,19,0.005038312696679452,0.03323525858649474,0.07391282323519033,0.003154583667374534,0.007015567048484449,7.750405314563643e-05,0.0001723634364166505,0.0063207313566923775,0.01405685164953613,0.11043684210526317,0.033226469403224074,0.07389327672413262,0,3,144,112,128,1.0,0.0,20993,1.0,18,0,0,0,111.76659412702429
