n,lstate,i,p_error,sim_type,decoder_type,shots,prep_rate,count_accept,LER,prep_rate_SEM,N_samples,prep_rate_SD,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
5,x,4,0.0005,m1,val,51000000,0.854591274509804,43584155,0.0,0.00010321312837799162,51,0.00037606590265175106,0.0,0.0,0.854591274509804,0.00010321312837799162,0.00037606590265175106,0,3,144,112,128,1.0,0.0,43584155,0.0,0,0,0,9138.311689352617,714.5419773650356
5,x,4,0.0005,normal,val,51000000,0.829058431372549,42281980,0.0,0.0001098097882848452,51,0.00040010139989268633,0.0,0.0,0.829058431372549,0.0001098097882848452,0.00040010139989268633,0,3,160,128,160,1.0,0.0,42281980,0.0,0,0,0,11004.862130045425,2211.5009579276666
5,x,4,0.001,m1,val,51000000,0.7305004901960784,37255525,0.0,0.00012340618204485427,51,0.00044964102893523287,0.0,0.0,0.7305004901960784,0.00012340618204485427,0.00044964102893523287,0,3,144,112,128,1.0,0.0,37255525,0.0,0,0,0,9429.98179387208,-109.31872662669048
5,x,4,0.001,normal,val,51000000,0.6876765882352941,35071506,0.0,0.00014318904223035333,51,0.0005217215800202388,0.0,0.0,0.6876765882352941,0.00014318904223035333,0.0005217215800202388,0,3,160,128,160,1.0,0.0,35071506,0.0,0,0,0,10545.711074933875,1854.5409297090955
5,x,4,0.005,m1,val,51000000,0.20970199999999997,10694802,2.334613257132002e-07,0.00010486247466385592,51,0.00038207543757745664,1.9628182773592419e-07,7.151697064284079e-07,0.20970195098039215,0.00010485289266660617,0.0003820405247470681,0,3,144,112,128,1.0,0.0,10694802,0.0,5,0,0,8548.027325462084,-455.0612091072835
5,x,4,0.005,normal,val,51000000,0.15627098039215687,7969820,2.515021297059983e-07,8.758719647831592e-05,51,0.00031913147699317017,2.389636695600976e-07,8.706846648905107e-07,0.15627094117647058,8.759907100337958e-05,0.00031917474284565237,0,3,160,128,160,1.0,0.0,7969820,0.0,4,0,0,8147.889418302104,447.7218728209846
5,x,4,0.01,m1,val,51000000,0.04501070588235294,2295546,4.796623835399486e-06,5.530740260266089e-05,51,0.00020151727410995271,2.8134514895004215e-06,1.0251052270124764e-05,0.04501049019607843,5.532062761744264e-05,0.00020156546058777429,0,3,144,112,128,1.0,0.0,2295546,2.0,18,0,0,7382.814157261979,-43.582684540655464
5,x,4,0.01,normal,val,51000000,0.02552854901960784,1301956,3.4553729642947024e-06,3.786575794968586e-05,51,0.0001379671430052087,2.0690582027269245e-06,7.538791361869305e-06,0.025528460784313724,3.7864460801696146e-05,0.00013796241673504043,0,3,160,128,160,1.0,0.0,1301956,0.0,9,0,0,6944.71436438011,65.61954271513969
5,x,5,0.0001,m1,val,51000000,0.9838217254901961,50174908,0.0,4.1195819964062795e-05,51,0.00015010051011657712,0.0,0.0,0.9838217254901961,4.1195819964062795e-05,0.00015010051011657712,2,1,80,80,64,1.0,0.0,50174908,0.0,0,0,0,999.8801898090169,169.4375360836275
5,x,5,0.0001,normal,val,51000000,0.9798339019607842,49971529,0.0,4.6077446334737635e-05,51,0.00016788713529058822,0.0,0.0,0.9798339019607842,4.6077446334737635e-05,0.00016788713529058822,2,1,96,96,96,1.0,0.0,49971529,0.0,0,0,0,11984.43219705671,2425.7994778081775
5,x,5,0.0005,m1,val,51000000,0.9217611568627451,47009819,0.0,6.790613991462785e-05,51,0.0002474218561525162,0.0,0.0,0.9217611568627451,6.790613991462785e-05,0.0002474218561525162,2,1,80,80,64,1.0,0.0,47009819,0.0,0,0,0,1847.2971739210188,122.08454412780702
5,x,5,0.0005,normal,val,51000000,0.9032479803921568,46065647,0.0,7.952680949233545e-05,51,0.00028976276435707947,0.0,0.0,0.9032479803921568,7.952680949233545e-05,0.00028976276435707947,2,1,96,96,96,1.0,0.0,46065647,0.0,0,0,0,12070.288105649408,1943.9924348718487
5,x,5,0.001,m1,val,51000000,0.8495780588235293,43328481,0.0,9.190276870964603e-05,51,0.000334855635267788,0.0,0.0,0.8495780588235293,9.190276870964603e-05,0.000334855635267788,2,1,80,80,64,1.0,0.0,43328481,0.0,0,0,0,2792.445990008302,78.434891582001
5,x,5,0.001,normal,val,51000000,0.8159082156862746,41611319,0.0,0.00012912967620888193,51,0.0004704950717584912,0.0,0.0,0.8159082156862746,0.00012912967620888193,0.0004704950717584912,2,1,96,96,96,1.0,0.0,41611319,0.0,0,0,0,11771.840302310418,1737.1255527804606
5,x,5,0.005,m1,val,324000000,0.444085262345679,143883625,0.0,5.899129715081429e-05,324,0.0005417568105687027,0.0,0.0,0.444085262345679,5.899129715081429e-05,0.0005417568105687027,2,1,80,80,64,1.0,0.0,143883625,0.0,0,0,0,7598.659056439064,264491.9204486453
5,x,5,0.005,normal,val,324000000,0.36360942901234566,117809455,0.0,5.334982954045508e-05,324,0.0004899474141470365,0.0,0.0,0.36360942901234566,5.334982954045508e-05,0.0004899474141470365,2,1,96,96,96,1.0,0.0,117809455,0.0,0,0,0,11160.181598384865,335533.33714868
5,x,5,0.01,m1,val,462000000,0.19907945238095237,91974707,5.460839836975146e-09,3.690820285113081e-05,462,0.0004047508927058266,1.0703246080471294e-08,1.1737630313224977e-07,0.1990794512987013,3.690842171724399e-05,0.0004047532928837775,2,1,80,80,64,1.0,0.0,91974707,0.0,1,0,0,9972.221345899161,526470.1543620706
5,x,5,0.01,normal,val,462000000,0.13424691125541124,62022073,0.0,3.1587117396280943e-05,462,0.0003463976291589268,0.0,0.0,0.13424691125541124,3.1587117396280943e-05,0.0003463976291589268,2,1,96,96,96,1.0,0.0,62022073,0.0,0,0,0,10728.005506434944,534806.3214268467
5,x,6,0.0001,m1,val,51000000,0.9686199803921569,49399619,0.0,5.0784168463597e-05,51,0.0001850364818295107,0.0,0.0,0.9686199803921569,5.0784168463597e-05,0.0001850364818295107,0,3,144,112,128,1.0,0.0,49399619,0.0,0,0,0,8970.03478449583,1420.6518709738739
5,x,6,0.0001,normal,val,51000000,0.9627555294117647,49100532,0.0,5.302219575677737e-05,51,0.00019319092659245612,0.0,0.0,0.9627555294117647,5.302219575677737e-05,0.00019319092659245612,0,3,160,128,160,1.0,0.0,49100532,0.0,0,0,0,11430.420717490837,2566.724518492352
5,x,6,0.0005,m1,val,51000000,0.8527646078431372,43490995,0.0,0.0001023630093991779,51,0.0003729684210992286,0.0,0.0,0.8527646078431372,0.0001023630093991779,0.0003729684210992286,0,3,144,112,128,1.0,0.0,43490995,0.0,0,0,0,9121.8569148276,713.0252863969654
5,x,6,0.0005,normal,val,51000000,0.8273966862745098,42197231,0.0,0.0001071528224017329,51,0.0003904205163767033,0.0,0.0,0.8273966862745098,0.0001071528224017329,0.0003904205163767033,0,3,160,128,160,1.0,0.0,42197231,0.0,0,0,0,10969.221547197085,2231.098139910493
5,x,6,0.001,m1,val,51000000,0.7274899019607843,37101985,0.0,0.00013380624240555064,51,0.00048753454256708937,0.0,0.0,0.7274899019607843,0.00013380624240555064,0.00048753454256708937,0,3,144,112,128,1.0,0.0,37101985,0.0,0,0,0,9290.693051527254,33.547895608469844
5,x,6,0.001,normal,val,51000000,0.6849389411764706,34931886,0.0,0.00014963265261203244,51,0.0005451994281642067,0.0,0.0,0.6849389411764706,0.00014963265261203244,0.0005451994281642067,0,3,160,128,160,1.0,0.0,34931886,0.0,0,0,0,10431.211907236837,1883.4698372073472
5,x,6,0.005,m1,val,51000000,0.20652929411764706,10532994,4.747906639819278e-07,0.00011991676976212285,51,0.00043692705542767947,2.976973189066769e-07,1.0846857634393519e-06,0.20652919607843137,0.00011991922234742891,0.00043693599163299995,0,3,144,112,128,1.0,0.0,10532994,0.0,10,0,0,8460.493601885159,-417.37207943061367
5,x,6,0.005,normal,val,51000000,0.15402166666666667,7855105,7.644346033267168e-07,0.00011288573337486728,51,0.00041130887015315595,4.578325296856174e-07,1.668152164800284e-06,0.15402154901960785,0.00011289539035035172,0.0004113440561731857,0,3,160,128,160,1.0,0.0,7855105,0.0,12,0,0,7939.565357480664,476.703350325115
5,x,6,0.01,m1,val,51000000,0.04420982352941176,2254701,9.54320129247386e-06,6.916382551094163e-05,51,0.00025200434169929376,3.204304342448299e-06,1.1675158226971218e-05,0.044209401960784316,6.917955666536715e-05,0.0002520616595122673,0,3,144,112,128,1.0,0.0,2254701,0.0,43,0,0,7208.370636798441,7.332052800338715
5,x,6,0.01,normal,val,51000000,0.025133607843137257,1281814,1.0930298360365384e-05,4.716020318024007e-05,51,0.00017183225290164458,4.92752393050617e-06,1.7953856877368352e-05,0.025133333333333334,4.7168415024202545e-05,0.00017186217346078968,0,3,160,128,160,1.0,0.0,1281814,2.0,24,0,0,6669.371652010363,112.10162562411278
5,x,7,0.0001,m1,val,1000000,0.976147,976147,0.0,0.0,1,,0.0,,0.976147,0.0,,1,2,112,80,96,1.0,0.0,976147,0.0,0,0,0,622.4430407998152,132.1149027282372
5,x,7,0.0001,normal,val,1000000,0.970385,970385,0.0,0.0,1,,0.0,,0.970385,0.0,,1,2,128,96,128,1.0,0.0,970385,0.0,0,0,0,623.7324482239783,129.826158226002
5,x,7,0.0005,m1,val,1000000,0.886461,886461,0.0,0.0,1,,0.0,,0.886461,0.0,,1,2,112,80,96,1.0,0.0,886461,0.0,0,0,0,273.2400786308572,61.69463538331911
5,x,7,0.0005,normal,val,1000000,0.859642,859642,0.0,0.0,1,,0.0,,0.859642,0.0,,1,2,128,96,128,1.0,0.0,859642,0.0,0,0,0,262.8079212806188,70.83460356062278
5,x,7,0.001,m1,val,1000000,0.785641,785641,0.0,0.0,1,,0.0,,0.785641,0.0,,1,2,112,80,96,1.0,0.0,785641,0.0,0,0,0,257.1472719288431,67.93245466426015
5,x,7,0.001,normal,val,1000000,0.739461,739461,0.0,0.0,1,,0.0,,0.739461,0.0,,1,2,128,96,128,1.0,0.0,739461,0.0,0,0,0,273.1835910570808,49.20381617872045
