n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,3,0.0001,normal,7900000,0.9898683544303798,7.809918089229555e-05,0.0003541636242876641,0.0,79,0.0,0.0,0.9898683544303798,7.809918089229555e-05,0.0003541636242876641,0,2,64,2,64,7819960,0.0,0,0,0,0.0,2435.730750797942
4,x,3,0.0001,normal,762000000,0.9898658669161676,7.2632363700367856e-06,9.577724436419079e-05,0.0,668,0.0,0.0,0.9898658669161676,7.2632363700367856e-06,9.577724436419079e-05,1,1,48,48,48,754279115,0.0,0,0,0,15.052663489244878,31176.943632655013
4,x,3,0.0005,m1,7900000,0.9600053164556961,0.00015154509113075594,0.0006872256290612077,0.0,79,0.0,0.0,0.9600053164556961,0.00015154509113075594,0.0006872256290612077,0,2,56,-8,48,7584042,0.0,0,0,0,0.0,157.70491683497676
4,x,3,0.0005,m1,7900000,0.9600053164556961,0.00015154509113075594,0.0006872256290612077,0.0,79,0.0,0.0,0.9600053164556961,0.00015154509113075594,0.0006872256290612077,0,2,56,-6,48,7584042,0.0,0,0,0,0.0,157.70491683497676
4,x,3,0.0005,m1,762000000,0.9600491673652695,1.4642164505440862e-05,0.00019308006739854835,7.793699405057045e-10,668,1.5275650833911813e-09,2.0143358527848882e-08,0.9600491666167665,1.4642062756837456e-05,0.00019307872568249292,1,1,40,40,32,731556715,0.0,1,0,0,2.392997558694333,2999.9636471219274
4,x,3,0.0005,m2,1052400000,0.9804001139527726,8.018847733320638e-06,0.00013294985091107122,0.0,1056,0.0,0.0,0.9549093958333333,1.2579738696098711e-05,0.00020856791895385927,1,1,40,40,32,1004947816,0.0,0,27361777,0,0.0,1243.1087059876882
4,x,3,0.0005,normal,8000000,0.95035,0.0001504793798061216,0.0006866982090989736,0.0,80,0.0,0.0,0.95035,0.0001504793798061216,0.0006866982090989736,0,2,64,0,64,7602800,0.0,0,0,0,0.0,2724.777653526806
4,x,3,0.0005,normal,8000000,0.95035,0.0001504793798061216,0.0006866982090989736,0.0,80,0.0,0.0,0.95035,0.0001504793798061216,0.0006866982090989736,0,2,64,2,64,7602800,0.0,0,0,0,0.0,2724.777653526806
4,x,3,0.0005,normal,762000000,0.9503709541916168,1.7178096263190487e-05,0.00022652033331841784,0.0,668,0.0,0.0,0.9503709541916168,1.7178096263190487e-05,0.00022652033331841784,1,1,48,48,48,724181007,0.0,0,0,0,40.80304932920262,40785.62366537824
4,x,3,0.001,m1,7900000,0.9216243037974683,0.00021674052873566738,0.0009828734477114224,0.0,79,0.0,0.0,0.9216243037974683,0.00021674052873566738,0.0009828734477114224,0,2,56,-8,48,7280832,0.0,0,0,0,0.0,269.8956773119862
4,x,3,0.001,m1,7900000,0.9216243037974683,0.00021674052873566738,0.0009828734477114224,0.0,79,0.0,0.0,0.9216243037974683,0.00021674052873566738,0.0009828734477114224,0,2,56,-6,48,7280832,0.0,0,0,0,0.0,269.8956773119862
4,x,3,0.001,m1,912000000,0.9217311169274537,1.899265924585985e-05,0.0002569255930305096,3.0859926936362833e-09,703,3.017803916876546e-09,4.082372304775159e-08,0.9217311140825035,1.8992527980444372e-05,0.0002569238173210484,1,1,40,40,32,840614812,0.0,4,0,0,4.640975493006408,6735.34107594677
4,x,3,0.001,m2,1052400000,0.961089258654359,1.182691431907606e-05,0.0001960863390541079,0.0,1056,0.0,0.0,0.9119210852272727,1.7565158627169026e-05,0.00029122453728702827,1,1,40,40,32,959708049,0.0,0,53837538,0,0.0,1591.4831373090856
4,x,3,0.001,normal,8000000,0.9032763750000001,0.00020793565743420698,0.0009488944183040741,0.0,80,0.0,0.0,0.9032763750000001,0.00020793565743420698,0.0009488944183040741,0,2,64,0,64,7226211,0.0,0,0,0,0.0,3218.4278317439166
4,x,3,0.001,normal,8000000,0.9032763750000001,0.00020793565743420698,0.0009488944183040741,0.0,80,0.0,0.0,0.9032763750000001,0.00020793565743420698,0.0009488944183040741,0,2,64,2,64,7226211,0.0,0,0,0,0.0,3218.4278317439166
4,x,3,0.001,normal,912000000,0.9032676544807966,2.107039083308651e-05,0.00028503236909046534,5.511626772639813e-09,703,4.065584043214221e-09,5.4997700837806016e-08,0.9032676495021338,2.1070346742626355e-05,0.00028503177265120554,1,1,48,48,48,823775085,0.0,7,0,0,75.87616891320795,55967.3621574421
4,x,3,0.005,m1,7900000,0.6663394936708861,0.0003504925517063093,0.0015894111945850581,1.6140165635858679e-06,79,7.799503669595006e-07,3.536913519077897e-06,0.666338417721519,0.0003504489232228253,0.0015892133484404975,0,2,56,-8,48,5264082,0.0,17,0,0,0.0,787.4932781517855
4,x,3,0.005,m1,7900000,0.6663394936708861,0.0003504925517063093,0.0015894111945850581,1.6140165635858679e-06,79,7.799503669595006e-07,3.536913519077897e-06,0.666338417721519,0.0003504489232228253,0.0015892133484404975,0,2,56,-6,48,5264082,0.0,17,0,0,0.0,787.4932781517855
4,x,3,0.005,m1,750000000,0.6664090076023391,3.5823720108535395e-05,0.00023900812612468123,2.702656725095962e-07,171,3.1011030373783485e-08,2.0689889928733558e-07,0.6664088274853801,3.5819732836762937e-05,0.00023898152390827829,1,1,40,40,32,499794016,0.0,265,0,0,27.675632807891816,14173.981757753307
4,x,3,0.005,m2,1052400000,0.8170946634724817,2.5966116594380355e-05,0.00043050964986122677,1.373979787589213e-06,1056,6.626047381916533e-08,1.0985768041148465e-06,0.6323707930871212,2.665143586045058e-05,0.0004418720172836583,1,1,40,40,32,665504820,34.0,1758,237921389,0,0.0,5825.162490482209
4,x,3,0.005,normal,8000000,0.60322725,0.00035938794482398713,0.0016400323977966917,2.5881388439638217e-06,80,1.0634414843761726e-06,4.8529131615477605e-06,0.6032256874999999,0.000359283736411651,0.0016395568527072817,0,2,64,0,64,4825818,1.0,23,0,0,0.0,4100.629965924061
4,x,3,0.005,normal,8000000,0.60322725,0.00035938794482398713,0.0016400323977966917,2.5881388439638217e-06,80,1.0634414843761726e-06,4.8529131615477605e-06,0.6032256874999999,0.000359283736411651,0.0016395568527072817,0,2,64,2,64,4825818,1.0,23,0,0,0.0,4100.629965924061
