n,lstate,i,p_error,sim_type,count_accept,count_logerror,count_undecided,LER,detect_normal,decoding_normal
4,x,3,0.01,m1,308732,8,16,0.999974087558141,118.94412990298588,25.205438207020052
4,x,3,0.005,normal,533473,0,1,1.0,135.65866935800295,78.72417967801448
4,x,3,0.005,m1,553524,0,1,1.0,32.19942872298998,3.9243907450290862
4,x,3,0.001,normal,881560,0,0,1.0,67.97753437099163,47.3694298559858
4,x,3,0.001,m1,888087,0,0,1.0,12.473531292984262,0.682976400014013
4,x,3,0.0005,normal,938642,0,0,1.0,36.45180064201122,45.983371465990786
4,x,3,0.0005,m1,942258,0,0,1.0,3.1785124860180076,0.26739031096803956
4,x,3,0.0001,normal,987376,0,0,1.0,21.93625421897741,32.11671516101342
4,x,3,0.0001,m1,988183,0,0,1.0,4.55036732199369,0.3731604570057243
4,x,4,0.01,normal,267134,1310,2531,0.9950960940950984,240.98322315802216,224.4635032369988
4,x,4,0.01,m1,298469,1426,2755,0.9952222843913439,222.25312327599386,101.52421216701623
4,x,4,0.005,normal,512574,608,1205,0.9988138298079887,339.63916447001975,212.34215746299014
4,x,4,0.005,m1,543042,634,1250,0.998832502826669,234.47122256699367,36.04126202801126
4,x,4,0.001,normal,873988,42,84,0.9999519444202896,406.04854198897374,84.3905197820277
4,x,4,0.001,m1,884295,50,99,0.9999434577827535,67.92267476100824,47.733409971988294
4,x,4,0.0005,normal,934727,12,25,0.9999871620269876,435.332786561019,126.36115658396739
4,x,4,0.0005,m1,940313,13,26,0.999986174816258,28.817760144011118,24.62814221996814
4,x,4,0.0001,normal,986534,1,2,0.9999989863501917,280.5862328900257,355.8404907809745
4,x,4,0.0001,m1,987679,0,0,1.0,36.6263816980063,17.48080055299215
4,x,5,0.01,normal,332770,60,115,0.9998196952850317,190.14441735699074,-39.62958540697582
4,x,5,0.01,m1,354213,37,74,0.999895543077188,41.506852435006294,12.247829661006108
4,x,5,0.005,normal,568611,4,8,0.9999929653137206,87.84170145599637,29.837937737989705
4,x,5,0.005,m1,588473,4,8,0.9999932027467701,54.30921678998857,2.149155115010217
4,x,5,0.001,normal,891359,0,0,1.0,87.17068145101075,24.15333845396526
4,x,5,0.001,m1,897958,0,0,1.0,3.822557808016427,0.4374009919993114
4,x,5,0.0005,normal,943830,0,0,1.0,54.06076574101462,26.055956261989195
4,x,5,0.0005,m1,947201,0,0,1.0,8.013454854983138,0.7020487030385993
4,x,5,0.0001,normal,988456,0,0,1.0,43.03037668901379,10.694981770997401
4,x,5,0.0001,m1,989141,0,0,1.0,2.2746880280028563,-0.6352945889811963
4,x,6,0.01,normal,265027,2210,4199,0.9916612269693277,352.609291611996,-81.85192876501242
4,x,6,0.01,m1,296454,2378,4541,0.9919785194330317,216.46396936199744,11.543159266992006
4,x,6,0.005,normal,508958,1028,2020,0.9979801869702412,348.28784307299065,-83.94733153498964
4,x,6,0.005,m1,538971,1046,2049,0.9980592647841906,247.3998278870131,207.9242241079919
4,x,6,0.001,normal,872179,76,152,0.9999128619239858,466.31208139899536,200.6108524930023
4,x,6,0.001,m1,882578,74,148,0.9999161547194696,176.53379958000733,118.49016790700261
