n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal,meas_type
4,x,6,0.001,normal,63000000,0.8586633558139535,0.0002467596674528,0.0011675280694048,0.0001040817348161,86,6.54175007959614e-06,3.095188496482309e-05,0.8585739843023256,0.0002467431480864,0.0011674499090466,0,2,64,48,64,1.0,0.0,54095424,14.0,4786,0,0,1299.2005306109786,10683.693562861125,"['x', 'x', 'z', 'x']"
4,x,6,0.005,m1,42900000,0.5471807506024097,0.0003868603006952,0.0017981964662713,0.0025718100593184,83,8.468051788997874e-05,0.0003936103233082,0.5457735138554217,0.0003891521209486,0.0018088492602479,0,2,56,40,48,1.0,0.0,23477221,529.0,58091,0,0,774.3190049491823,4894.413678696496,"['x', 'x', 'z', 'x']"
4,x,6,0.005,normal,43000000,0.4727493869047619,0.0003370152622683,0.001575916275204,0.0025789881224645,84,8.827393291810274e-05,0.0004127775300904,0.4715301630952381,0.000338138610706,0.0015811691621913,0,2,64,48,64,1.0,0.0,20331178,511.0,50998,0,0,545.5417096642777,6899.987927910406,"['x', 'x', 'z', 'x']"
4,x,6,0.01,m1,32900000,0.3063762231707317,0.0003056178567507,0.0014119833663115,0.0103079289574404,82,0.000277494865171,0.0012820524887648,0.3032180207317073,0.0003096222756178,0.0014304841597275,0,2,56,40,48,1.0,0.0,10080438,2160.0,109098,0,0,943.6393186519854,3779.1864891666046,"['x', 'x', 'z', 'x']"
4,x,6,0.01,normal,33100000,0.2317259761904762,0.0002655147201927,0.00124157275858,0.0106919007184664,84,0.0002821553093481,0.0013193857783894,0.229248344047619,0.0002690326588037,0.0012580229830443,0,2,64,48,64,1.0,0.0,7668211,2195.0,86448,0,0,423.40503273019567,5437.653804646136,"['x', 'x', 'z', 'x']"
4,x,7,0.0,m2,200,1.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,1,1,40,24,32,1.0,0.0,200,0.0,0,0,0,0.0,0.0591332460007833,"['z', 'x', 'z', 'x']"
4,x,7,0.0001,m1,12900000,0.9916633075,6.225218350538698e-05,0.0002840818654404,2.0950405595018087e-06,80,7.587341673491503e-07,3.462410561315105e-06,0.99166123,6.231452426490606e-05,0.000284366351514,1,1,40,24,32,1.0,0.0,12792757,0.0,45,0,0,14.092699985019864,2449.186581706861,"['z', 'x', 'z', 'x']"
4,x,7,0.0001,normal,12900000,0.988680755,7.566264958497019e-05,0.0003452792404688,2.041803430160526e-06,80,6.947234361619759e-07,3.1703037322865584e-06,0.98867873625,7.562865508965711e-05,0.0003451241098517,1,1,48,32,48,1.0,0.0,12754274,0.0,47,0,0,575.5789481373504,4352.068596826968,"['z', 'x', 'z', 'x']"
4,x,7,0.0005,m1,12900000,0.9591363725,0.0001487434054737,0.0006787762568248,4.886275678336765e-05,80,3.28577521394865e-06,1.499431987178183e-05,0.959089505,0.0001483132481767,0.0006768132752797,1,1,40,24,32,1.0,0.0,12372974,1.0,938,0,0,85.03885613800958,2836.0845412178896,"['z', 'x', 'z', 'x']"
4,x,7,0.0005,normal,12900000,0.9447691475,0.0001580651302837,0.0007213150534425,6.743877499454258e-05,80,4.445314153040043e-06,2.0285764545998857e-05,0.94470543375,0.0001582041300756,0.0007219493656538,1,1,48,32,48,1.0,0.0,12187388,6.0,1371,0,0,582.6888915360905,4633.014612181083,"['z', 'x', 'z', 'x']"
