n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,4,0.0001,m1,112900000,0.9880345969884854,0.0,,2.2859887375520516e-07,1,0.0,,0.9880343711248892,0.0,,0,2,56,40,48,1.0,0.0,111549106,0.0,51,0,0,15.352423401083795,2623.290244315096
4,x,4,0.0001,normal,112900000,0.9850346944198406,0.0,,2.3828703025185132e-07,1,0.0,,0.9850344596988485,0.0,,0,2,64,48,64,1.0,0.0,111210417,0.0,53,0,0,523.3268667091615,14218.602851578951
4,x,4,0.0005,m1,112900000,0.9415355358724535,0.0,,5.865510274652448e-06,1,0.0,,0.9415300132860939,0.0,,0,2,56,40,48,1.0,0.0,106299362,0.0,1247,0,0,44.68321815924719,3376.025878250017
4,x,4,0.0005,normal,112900000,0.9273661027457928,0.0,,1.910226371089572e-08,1,0.0,,0.9273660850310009,0.0,,0,2,64,48,64,1.0,0.0,104699633,-617.0,1238,0,0,527.3433895618655,14155.163958898702
4,x,4,0.001,m1,62900000,0.8866795548489667,0.0,,1.5240583184322267e-07,1,0.0,,0.8866794197138315,0.0,,0,2,56,40,48,1.0,0.0,55772144,-1442.0,2901,0,0,66.91125023271888,3001.522052262313
4,x,4,0.001,normal,63000000,0.860276873015873,0.0,,3.6902109939024246e-08,1,0.0,,0.8602768412698413,0.0,,0,2,64,48,64,1.0,0.0,54197443,-1385.0,2774,0,0,540.2880013687536,10607.215540281264
4,x,4,0.005,m1,42900000,0.5502467365967366,0.0,,9.065651200764565e-06,1,0.0,,0.5502417482517482,0.0,,0,2,56,40,48,1.0,0.0,23605585,-16440.0,33308,0,0,210.5591811342165,3609.512882382725
4,x,4,0.005,normal,43000000,0.47502337209302326,0.0,,1.618035440606227e-05,1,0.0,,0.4750156860465116,0.0,,0,2,64,48,64,1.0,0.0,20426005,-14376.0,29413,0,0,494.8313205973245,7774.782464951932
4,x,4,0.01,m1,32900000,0.30625325227963524,0.0,,0.00010004235920526668,1,0.0,,0.3062226139817629,0.0,,0,2,56,40,48,1.0,0.0,10075732,-30150.0,62316,0,0,310.0642046011053,3424.723212493802
4,x,4,0.01,normal,33100000,0.23078534743202417,0.0,,0.00022561868413318768,1,0.0,,0.23073327794561935,0.0,,0,2,64,48,64,1.0,0.0,7638995,-23276.0,49999,0,0,481.4540725499392,5365.835396295035
