n,lstate,i,p_error,sim_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,z,14,0.5,normal,1360000000,0.8388289308823529,0.0024260834578629497,0.014435077485386538,2.1361433156355494e-06,136,2.611616153309082e-07,1.553898791606754e-06,0.8388271448529412,0.0024261317522224803,0.014435364834455124,1,1,48,16,48,1.0,0.0,1140807346,189.0,4480,0,0,0,63922.879349016584
4,z,14,0.8,m1,1350000000,0.7570227192592592,0.002910814395125686,0.017255411749320302,1.9963019159514265e-06,135,2.458686628227523e-07,1.4575182190818464e-06,0.7570212074074074,0.0029108042648297258,0.017255351696563854,1,1,40,8,32,1.0,0.0,1021980671,147.0,3788,0,0,0,10314.270278304815
4,z,14,0.8,normal,1350000000,0.7578272377777778,0.0029340073321643912,0.01739290030886195,6.137436918549257e-06,135,5.087377789340904e-07,3.015815732752473e-06,0.7578225959259259,0.0029340553693811976,0.017393185075199737,1,1,48,16,48,1.0,0.0,1023066771,707.0,11119,0,0,0,85433.07008867059
4,z,14,1.0,m1,1350000000,0.7075555785185185,0.0034136556316507792,0.020236272567965247,3.816645415236886e-06,135,4.1237359068176796e-07,2.4445653813156756e-06,0.7075528733333334,0.003413614830144342,0.020236030695177085,1,1,40,8,32,1.0,0.0,955200031,296.0,6712,0,0,0,12949.312651465647
4,z,14,1.0,normal,1350000000,0.706829094074074,0.0032237263813546086,0.01911036518527944,1.007636133003348e-05,135,8.767389173125338e-07,5.197339631209232e-06,0.7068219740740741,0.0032237063468816968,0.019110246420208105,1,1,48,16,48,1.0,0.0,954219277,1206.0,16812,0,0,0,98224.43771162163
4,z,15,0.1,m1,1350000000,0.9401095392592592,0.0005793222994017209,0.0034342432923512023,3.941514057925168e-09,135,3.2222727282256193e-09,1.910174787758596e-08,0.9401095355555555,0.0005793223794273891,0.003434243766746223,0,2,56,8,48,1.0,0.0,1269147878,0.0,10,0,0,0,988.8435909273103
4,z,15,0.1,normal,1350000000,0.9386833022222222,0.0005717542529559032,0.0033893796425838916,2.7621043017921285e-09,135,1.9998774138738156e-09,1.1855344773045375e-08,0.9386832996296296,0.0005717542580012841,0.00338937967249309,0,2,64,16,64,1.0,0.0,1267222458,0.0,7,0,0,0,20974.45524257794
4,z,15,0.3,m1,1350000000,0.8318463237037037,0.0014558998481304557,0.00863062632482933,3.910200789115934e-08,135,1.0368667392751727e-08,6.146583081809896e-08,0.8318462911111111,0.001455898731019156,0.008630619702553627,0,2,56,8,48,1.0,0.0,1122992537,3.0,82,0,0,0,4619.36341880355
4,z,15,0.3,normal,1350000000,0.8280480118518518,0.0014822275078927567,0.008786697632692606,5.8658199071809305e-08,135,2.029139047471941e-08,1.2028808782650015e-07,0.8280479633333334,0.0014822282564376874,0.008786702070093704,0,2,64,16,64,1.0,0.0,1117864816,0.0,131,0,0,0,48296.54612811282
4,z,15,0.5,m1,1350000000,0.7321113918518519,0.0023924208371833506,0.014182356213567431,2.504156384895278e-07,135,6.30264490718833e-08,3.7362304228468465e-07,0.7321112077777778,0.002392413777153562,0.014182314361458562,0,2,56,8,48,1.0,0.0,988350379,12.0,473,0,0,0,10002.75306650903
4,z,15,0.5,normal,1360000000,0.7315453522058823,0.00228801487719487,0.013613576207769046,2.8227217068660717e-07,136,5.9532919540828715e-08,3.5421794898190613e-07,0.7315451459558824,0.0022880164677562143,0.01361358567153097,0,2,64,16,64,1.0,0.0,994901679,8.0,545,0,0,0,73385.61552908272
4,z,15,0.8,m1,1350000000,0.6102923859259259,0.0028140374077823783,0.016681714310121182,1.0157462120752125e-06,135,1.351149738854619e-07,8.009663933902713e-07,0.610291764074074,0.002814022427750083,0.01668162550795444,0,2,56,8,48,1.0,0.0,823894721,21.0,1637,0,0,0,17069.19130408205
4,z,15,0.8,normal,1350000000,0.6023011303703704,0.002967332912872911,0.017590455542158052,1.1858869268523662e-06,135,1.4588546216505617e-07,8.648142327842369e-07,0.6023004155555556,0.0029673265399934837,0.01759041776350108,0,2,64,16,64,1.0,0.0,813106526,30.0,1870,0,0,0,97254.66681663971
4,z,15,1.0,m1,1350000000,0.5403450822222222,0.0029280414202130876,0.017357534169628777,2.3009285752187952e-06,135,2.6573976868213517e-07,1.575314844690185e-06,0.5403438418518518,0.002928049694379339,0.017357583219181984,0,2,56,8,48,1.0,0.0,729465861,54.0,3241,0,0,0,22901.2079192074
