n,lstate,i,p_error,sim_type,comp_type,shots,prep_rate,prep_rate_SEM,prep_rate_SD,LER,N_samples,LER_SEM,LER_SD,eff,eff_SEM,eff_SD,skip,s_l,CNOT,hadamard,meas,cost,cost_SEM,count_accept,count_logerror,count_undecided,count_detect_discard,total_meta_shots,detect_normal,decoding_normal
4,x,6,0.8,m1,na,13000000,0.5741751538461538,0.017037886926579388,0.031342334152724256,0.005569094954831173,13,0.0005088117040488695,0.000935993208420616,0.5709858461538461,0.017032363654204574,0.031332173723257035,0,2,56,40,48,1.0,0.0,7464277,2512.0,77898,0,0,0,2361.2261630150024
4,x,6,1.0,m1,init,13000000,0.4992470769230769,0.011927198838330391,0.02194088111441569,0.008807449059523185,13,0.0014979635839371477,0.0027556043421750973,0.4948582307692308,0.011968575061513803,0.022016995448228358,0,2,56,40,48,1.0,0.0,6490212,4060.0,105990,0,0,0,2557.9999820151133
4,x,6,1.0,m1,na,13000000,0.5056978461538462,0.02150272262351653,0.03955569845977979,0.007062636698060228,13,0.0012841504762771813,0.002362280810014735,0.5021349230769231,0.021396737744222093,0.039360732175739,0,2,56,40,48,1.0,0.0,6574072,3246.0,86144,0,0,0,2654.0251809380716
4,x,7,0.1,m1,init,13000000,0.9640583076923076,0.0019805637105475013,0.0036433795983174663,0.0004604760166493601,13,6.0129119826373304e-05,0.00011061154320536088,0.9636146153846153,0.00201631521607774,0.003709146887278849,1,1,40,24,32,1.0,0.0,12532758,103.0,11330,0,0,0,360.4253654149361
4,x,7,0.1,m1,na,13000000,0.9626817692307692,0.0031896099482985165,0.00586750113128589,0.00047483992148125367,13,6.476590947345543e-05,0.00011914122832071554,0.962225,0.003222215152557234,0.0059274805883276155,1,1,40,24,32,1.0,0.0,12514863,115.0,11646,0,0,0,443.3893656998407
4,x,7,0.3,m1,init,13000000,0.8975034615384616,0.009097454777801555,0.016735377386519572,0.0018970399922746098,13,0.0003301242701939141,0.0006072857058465743,0.8958070384615385,0.0092744463128363,0.017060965169627153,1,1,40,24,32,1.0,0.0,11667545,1039.0,42029,0,0,0,714.9394645462744
4,x,7,0.3,m1,na,13000000,0.8905002307692308,0.009037330227828254,0.016624774249865013,0.0018503915429547275,13,0.00017414670167107806,0.0003203545215959195,0.8888552307692308,0.009108984960765888,0.016756587930342723,1,1,40,24,32,1.0,0.0,11576503,984.0,40802,0,0,0,795.5108401840553
4,x,7,0.5,m1,init,13000000,0.8349553076923077,0.00798775332158239,0.01469400723302199,0.003283776401321961,13,0.0004349029190845138,0.00080003304826948,0.8322129615384616,0.007952045877606256,0.014628320998240506,1,1,40,24,32,1.0,0.0,10854419,2060.0,67181,0,0,0,1045.7261544631328
4,x,7,0.5,m1,na,13000000,0.8332620000000001,0.01812082274749107,0.03333446712738434,0.003551991954578858,13,0.00031931682599528865,0.0005874046883900131,0.8303128846153847,0.018208003355196106,0.033494841694377504,1,1,40,24,32,1.0,0.0,10832406,2470.0,71737,0,0,0,1061.3972676799167
4,x,7,0.8,m1,init,13000000,0.7153152307692309,0.05148557212610875,0.09471115828943093,0.008791565986781448,13,0.0016055671489788896,0.002953548307063223,0.7092230769230768,0.05160394010063659,0.09492890410653958,1,1,40,24,32,1.0,0.0,9299098,7410.0,143576,0,0,0,1277.2658596960828
4,x,7,0.8,m1,na,13000000,0.7568365384615384,0.016518641810470275,0.030387147984017284,0.007597096430168555,13,0.0006582321109512174,0.001210862054689549,0.7510988076923077,0.016577836389710342,0.03049604037722115,1,1,40,24,32,1.0,0.0,9838875,6174.0,136833,0,0,0,1386.2675487528322
4,x,7,1.0,m1,init,13000000,0.7031583076923076,0.01984581775593626,0.03650771098088871,0.010393597911528009,13,0.0012313495840751852,0.0022651500323491516,0.695892423076923,0.020092162973346636,0.03696087950784709,1,1,40,24,32,1.0,0.0,9141058,8702.0,171509,0,0,0,1722.0052502740873
4,x,7,1.0,m1,na,13000000,0.7033106153846155,0.017620944563028696,0.032414907726585895,0.009774921504915489,13,0.0012451474389098293,0.002290532110460232,0.6964686538461538,0.017874875034656092,0.03288202983671617,1,1,40,24,32,1.0,0.0,9143038,8370.0,161151,0,0,0,1657.902556829853
4,x,8,0.1,m1,init,13000000,0.9354106153846153,0.0034603869815097105,0.006365613619786388,0.014383737671280318,13,0.0016587842289593046,0.0030514446900223318,0.9219625,0.004230244662826756,0.007781818387540686,0,2,56,24,48,1.0,0.0,12160338,11819.0,326013,0,0,0,2505.564875111915
4,x,8,0.1,m1,na,13000000,0.934260076923077,0.003557777314681844,0.006544769660595903,0.014406637794104468,13,0.0011810848169192007,0.0021726846265684575,0.9207954230769231,0.0032439381961987266,0.005967441582056465,0,2,56,24,48,1.0,0.0,12145381,14667.0,320747,0,0,0,2393.5394582449226
4,x,8,0.3,m1,init,13000000,0.8208262307692308,0.010101854127057906,0.01858303726141061,0.04210321739012325,13,0.003323104018893694,0.0061130724152151355,0.7862102307692307,0.008529056603411826,0.015689770874967382,0,2,56,24,48,1.0,0.0,10670741,35165.0,829686,0,0,0,2615.436754967901
4,x,8,0.3,m1,na,13000000,0.819225923076923,0.008443506304049643,0.015532395369364502,0.0437365095668067,13,0.0041432729428666,0.007621828083544951,0.7834194615384615,0.009420279625722675,0.01732923531619991,0,2,56,24,48,1.0,0.0,10649937,38194.0,854580,0,0,0,2668.3165854491526
4,x,8,0.5,m1,init,13000000,0.7198861538461538,0.013756079902334763,0.025305230325126354,0.06152561265872431,13,0.004063937762895912,0.007475885706334504,0.6755641923076923,0.012720551159164532,0.023400305845168674,0,2,56,24,48,1.0,0.0,9358520,53397.0,1045577,0,0,0,2793.208417146234
4,x,8,0.5,m1,na,13000000,0.7343234615384616,0.013382894900294911,0.024618731518958586,0.06914859307832502,13,0.0033244177629412636,0.00611548913538164,0.6836085,0.013715846342597253,0.025231217997254907,0,2,56,24,48,1.0,0.0,9546205,57023.0,1204543,0,0,0,2453.115239447914
4,x,8,0.8,m1,init,13000000,0.6019098461538461,0.009962289943708487,0.01832629959851031,0.11734532921205189,13,0.00966985139444096,0.017788339300394813,0.5311113461538461,0.00742224185633324,0.013653711016277817,0,2,56,24,48,1.0,0.0,7824828,80693.0,1679375,0,0,0,2663.0077089312254
4,x,8,0.8,m1,na,13000000,0.5874628461538461,0.015612657432014846,0.028720529039481357,0.11199451243882096,13,0.006197641354509372,0.011400976372765118,0.5217242307692308,0.014997372659568986,0.027588671490468224,0,2,56,24,48,1.0,0.0,7637017,75636.0,1557932,0,0,0,2765.0769504060736
